富岡 ヤスヤ,GTE641900,,,,
,ハイウェイ・スター,,"Roger Glover,lan Paice,Ritchie Blackmore,Jon Lord ,Lan Gillan",富岡 ヤスヤ,5~3
,ワイルド・アングル,,"James Taylor,Willmot",富岡 ヤスヤ,5~3
,ノー・マンズ・ランド,,"Billy sheehan,John Novello",富岡 ヤスヤ,5~3
,サヴォイ,,"Jeff Beck,Terry Bozzio,Tony Hymas",富岡 ヤスヤ,5~3
,レディ・バイオレッタ,,森園 勝敏,富岡 ヤスヤ,5~3
,天国への階段,,"Jimmy Page,Robert Plant",富岡 ヤスヤ,5~3
エレクトーンサウンドイン　ファン　17,GTE640670,,,,
,ティズニー・ファンティリュージョン！,,Bruce Healey,稲垣 千章,6
,古畑任三郎のテーマ,警部補・古畑任三郎より,本間 勇輔,稲垣 千章,6
,王様のレストラン,「王様のレストラン」より,服部 隆之,矢口 理津子,6
,秀吉,「NHK 大河ドラマ・秀吉」より,小六 禮次郎,内海 源太,6
,はるかなる大地,「北の国から」より,さだまさし,戸田 有紀,7
,伽羅,「NHK特集・海のシルクロード」より,S.E.N.S,稲垣 千章,7
,ENDLESS RAIN,,YOSHIKI,稲垣 千章,7
,自由の大地,「新世界紀行」より,服部 克久,篠崎 秀子,7
エレクトーンサウンドイン 12　ビート・オン・クラシック,,,,,
,ユーモレスク,,A.Dvarak,小林 陽一,
,交響曲第40番第一楽章,,W.A. Mozart,長野 洋二,
,バッハのメヌエット,,J.S. Bach,小林 陽一,
,ピアノ・ソナタ第８番「悲愴」第２楽章,,L.v.Beethoven,長野 洋二,
,トルコ行進曲（ピアノ・ソナタ第１１番第３楽章）,,W.A. Mozart,小林 陽一,
,美し青きドナウ,,J.Strausell,長野 洋二,
KEN'ICHI KAWANO,,,,,
,Miss You Like Crazy,ミス・ライク・クレイジー,"Gerry Goffin, Preston Glass, Michael Masser",川野憲一,
,70's Dance Mix,That's The Way (I Like it)~Sexy Bus Stop~ Fantasy ~ Dancing Queen ~ I'm In The Mood For Dancing,,川野憲一,
,Sweet Baby,,George Duke,川野憲一,
,"Theme From ""E.F.W",E.T.のテーマ,John Williams,川野憲一,
,時計-Picuresque Time,Picturesque Time,川野憲一,川野憲一,
スーパーマリオワールド,スーパーマリオブラザーズ,,,小林 陽一,7~5
,スーパーマリオワールド　タイトルBGM,,,小林 陽一,7~5
,スーパーマリオワールド　地上BGM,,,小林 陽一,7~5
,スーパーマリオワールド　コクッパBGM,,,矢口 理津子,7~5
,スーパーマリオワールド　エンディング,,,小林 陽一,7~5
,Welcome to Mario World,スーパーマリオワールドタイトルBGM,,矢口 理津子,7~5
,Super Mario World.,スーパーマリオワールド 地上BGM,,小林 陽一,7~5
,Super Mario Bros,スーパーマリオプラザーズ 地上BGM,,小林 陽一,7~5
,Shining Coral,スーパーマリオンフザース 水中BGM,,矢口 理津子,7~5
,"Thank You, Mario!",スーパーマリオワールド エンディング,,小林 陽一,7~5
,,,,,
スター・ウォーズ　トリロジー,「スター・ウォーズ」メイン・テーマ,映画『スター・ウォーズ』より,John Williams,加曽利康之,5~3
,帝国のマーチ（ダース・ベイダーのテーマ）,映画『スター・ウォーズ 帝国の逆襲」より,John Williams,森俊雄,5~3
,ヨーダのテーマ,映画「スター・ウォーズ 帝国の逆襲」より,John Williams,森俊雄,5~3
,ルークとレイア〜イウォーク族のパレード（メドレー）,映画『スター・ウォーズ ジェダイの復讐」より,John Williams,安藤禎央,5~3
,酒場のバンド,映画『スター・ウォーズ」より,John Williams,水野義子,5~3
,王座の間,映画『スター・ウォーズ」より,John Williams,安藤禎央,5~3
ディズニーメドレー~映画作品集~,美女と野獣・メドレー,,,上野みゆき,5~3
,アラジン・メドレー,,,唐木忍,5~3
,メリー・ポピンズ・メドレー,,,峰村知子,5~3
,シンデレラ・メドレー,,,森俊雄,5~3
,ライオン・キング・メドレー,,,矢口 理津子,5~3
リラクセーション・ミュージック４,オリノコ・フロウ,,"E. Bhraonain, N. Ryan , R. Ryan",上野みゆき,5~3
,エストレイヤ,,喜多郎,中村美奈子,5~3
,ムーンライト・セレナーデ,,G. Miller,宮戸幸枝,5~3
,スカボロー・フェア,,Traditional British,日下将太郎,5~3
,リトル・スコティッシュ・ファンタジー（ジョニーがいなくてがっかり）,,Arr. by V. Mae,矢口理津子,5~3
,星空につつまれて（TV-Size Edit）,,東儀秀樹,稲葉夕佳,5~3
ゲームミュージック 2 ファイナルファンタジー Ⅸ,ビビのテーマ,,植松伸夫,稲垣千章,5~3
,バトル2～ファンファーレ,,植松伸夫,稲垣千章,5~3
,ク族の沼～クイナのテーマ,,植松伸夫,稲垣千章,5~3
,破滅への使者,,植松伸夫,稲垣千章,5~3
,その扉の向こうに〜Final Fantasy,,植松伸夫,稲垣千章,5~3
,Melodies Of Life,,植松伸夫,稲垣千章,5~3
